Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/users/reset-password/:token,PATCH,UsersController,resetPassword,Authentication / Password,"Resets user password using reset token. Takes new password in body. Validates token, updates password hash, invalidates token.",No — token-based,None,Critical,Password change operation. Must track for compliance/audit. Failed resets could indicate token theft.,Yes — auth.password_reset_completed,Yes,Yes,"token (redacted), password_changed, device_info, trace_id","Yes — new password in body, token in URL.",Yes,auth_password_reset_total{status=success|failure|expired_token},Yes,"DB: User.update() (password hash, clear reset token). Reads x-device-header.",None.,No logging. No audit trail for password changes. No metrics.,P0,Not Started,SECURITY: Password change with no audit logging. Compliance gap. Token in URL path.
api/users/validate-phone-from-nid/:nationalId,GET,UsersController,getUserNidData,Identity / NID Validation,Validates phone number from national ID via NIDA API. Takes nationalId as URL parameter. Returns NID data.,No — public endpoint,None,High,NIDA integration for identity verification. External API call. PII data returned.,No,No,Yes,"national_id (hashed), nida_response_status, trace_id","Yes — national ID, personal data from NIDA (name, DOB, photo).",Yes,"auth_nida_validation_total{status=success|failure}, auth_nida_api_duration_seconds",Yes,External: NIDA API (government identity service).,None.,No logging. No NIDA API latency tracking. PII returned without audit.,P1,Not Started,SECURITY: Public endpoint returns PII from NIDA. National ID in URL path. No rate limiting.
api/users/validate-phone-or-email,POST,UsersController,validatePhoneOrEmail,Identity / Validation,Validates if phone number or email exists in system. Used during registration to check uniqueness.,No — public endpoint,None,Medium,Account existence check. User enumeration risk if not properly handled.,No,No,Yes,"validation_type (phone|email), exists, trace_id",Yes — phone number or email address.,No,,No,DB: User lookup by phone/email.,None.,No logging.,P2,Not Started,SECURITY: User enumeration vector. Should rate limit.
api/users/verify-phone-or-email,POST,UsersController,verifyPhoneOrEmail,Identity / Validation,Verifies phone number or email. Similar to validate-phone-or-email but different verification logic. May send verification code.,No — public endpoint,None,Medium,Verification step. May trigger SMS/email send.,No,No,Yes,"verification_type, verification_result, trace_id",Yes — phone number or email address.,No,,No,DB: User lookup. Possibly External: Notification Service.,None.,No logging.,P2,Not Started,Nearly identical to validate-phone-or-email. Consider consolidating.
api/users/validate-tin,POST,UsersController,validateTin,Identity / TIN Validation,Validates TIN (Tax Identification Number) via RRA/RDB. Takes GetUserTinDto. Returns company/individual info.,No — public endpoint,None,High,RRA integration for business verification. External API call. Business-sensitive data.,No,No,Yes,"tin_number (hashed), rra_response_status, company_name, trace_id","Yes — TIN number, company registration details, employee info.",Yes,"auth_tin_validation_total{status=success|failure}, auth_rra_api_duration_seconds",Yes,External: RRA/RDB API (tax authority service).,None.,No logging. No RRA API latency tracking. Business data returned without audit.,P1,Not Started,SECURITY: Public endpoint returns business data from RRA. No rate limiting.
api/users/refresh-token,POST,UsersController,refreshToken,Authentication / Token,Refreshes JWT access token using refresh token from body. Reads x-device-header from headers. Returns new token pair.,Refresh token in body,None,Critical,Token refresh is continuous auth. Stolen refresh tokens = persistent access. Must track for anomaly detection.,No,No,Yes,"user_id, device_info, token_refreshed, trace_id",Yes — refresh token in body.,Yes,"auth_token_refresh_total{status=success|failure|expired}, auth_token_refresh_duration_seconds",Yes,JWT verification + signing. DB: Token validation.,None.,No logging. No token refresh tracking. Cannot detect token theft (refresh from unexpected device).,P0,Not Started,SECURITY: No anomaly detection for refresh from new devices. No token rotation tracking.
api/users/:id,GET,UsersController,getUserById,User Management / Profile,Retrieves user by ID. Protected by AccessGuard. Returns full user profile.,Yes — JWT Bearer,AccessGuard,Medium,User profile retrieval. Standard CRUD read.,No,No,No,"user_id, trace_id",Yes — user PII in response.,No,,No,DB: User.findByPk().,None.,No logging.,P2,Not Started,Protected by AccessGuard. ParseIntPipe validates ID.
api/users/validate-tin-rdb,POST,UsersController,validateTinNumberRDB,Identity / TIN Validation,Validates TIN number against RDB (Rwanda Development Board). Takes TinNumberDto in body. Returns company registration info.,No — public endpoint,None,High,RDB integration for company verification. External API. Alternative to RRA validation.,No,No,Yes,"tin_number (hashed), rdb_response_status, trace_id","Yes — TIN number, company data.",Yes,"auth_tin_rdb_validation_total{status=success|failure}, auth_rdb_api_duration_seconds",Yes,External: RDB API (company registration).,None.,No logging. No API latency tracking.,P1,Not Started,Public endpoint. No rate limiting.
api/users/validate-national-id/:nationalId,GET,UsersController,validateNationId,Identity / NID Validation,Validates national ID via NIDA API. Uses @Trace() and @Span() decorators. Returns person info. AccessGuard commented out.,No — guard commented out,None (guard commented out),High,NIDA API integration. PII returned. Guard commented out = publicly accessible.,No,No,Yes,"national_id (hashed), nida_status, trace_id, span_id","Yes — national ID, person info from NIDA.",Yes,"auth_national_id_validation_total{status=success|failure}, auth_nida_api_duration_seconds",Yes,External: NIDA API. Uses getUserInfoFromNida().,Has @Trace() and @Span() decorators.,Has trace/span but no custom metrics. No API latency tracking. Guard commented out.,P1,Not Started,SECURITY: @UseGuards(AccessGuard) COMMENTED OUT. Public access to NIDA data. National ID in URL path.
api/users/validate-tin-rra/:tinNumber,GET,UsersController,validateTinRra,Identity / TIN Validation,Validates TIN via RRA. Uses @Trace() and @Span() decorators. Returns company info. AccessGuard commented out.,No — guard commented out,None (guard commented out),High,RRA API integration. Business data returned. Guard commented out = publicly accessible.,No,No,Yes,"tin_number (hashed), rra_status, trace_id, span_id","Yes — TIN number, company info from RRA.",Yes,"auth_tin_rra_validation_total{status=success|failure}, auth_rra_api_duration_seconds",Yes,External: RRA API. Uses getCompanyInfoFromRra().,Has @Trace() and @Span() decorators.,Has trace/span but no custom metrics. No API latency tracking. Guard commented out.,P1,Not Started,SECURITY: @UseGuards(AccessGuard) COMMENTED OUT. Public access to RRA data. TIN in URL path.
api/users/:userId/logged-in-devices,GET,UsersController,getDevices,Authentication / Device Management,Lists devices where user is logged in. Protected by AccessGuard. Returns device sessions.,Yes — JWT Bearer,AccessGuard,Medium,Device session visibility. Useful for security — user can see active sessions.,No,No,Yes,"user_id, device_count, trace_id","Yes — device fingerprints, IP addresses, session info.",No,,No,DB: LoggedInDevice lookup by userId.,None.,No logging.,P2,Not Started,Protected by AccessGuard.
api/users/complete-first-login,POST,UsersController,completeFirstLogin,Authentication / Staff Onboarding,"Completes first login for staff users. Validates accountToken, checks expiry, validates national ID with NIDA, updates staff record with NID + phone.",Account token based,Token expiry check,High,Staff identity verification. Links NIDA identity to staff account. One-time setup.,Yes — staff.first_login_completed,Yes,Yes,"account_token (redacted), national_id (hashed), phone, nida_validation_result, trace_id","Yes — national ID, phone number, NIDA validation data.",Yes,auth_staff_first_login_total{status=success|failure|expired_token|nida_failed},Yes,DB: StaffUser lookup + update. External: NIDA API (national ID validation).,None.,No logging. No metrics. Critical staff onboarding with no audit trail.,P1,Not Started,Staff-specific. Checks token expiry. NIDA validation. Updates staff record.
api/access/create-role,POST,AccessController,createRole,Access Control / Roles,Creates new role. Protected by AccessGuard. Takes CreateRoleDto.,Yes — JWT Bearer,AccessGuard,High,Role creation affects authorization across platform. RBAC management.,Yes — access.role_created,Yes,Yes,"role_name, created_by, trace_id",No,Yes,"auth_role_operations_total{action=create,status=success|failure}",Yes,DB: Role.create(). External: passes req for audit context.,None.,No logging. No audit trail for role changes.,P1,Not Started,RBAC management. Role changes need audit trail.
api/access/business/:tinNumber/update-user,POST,AccessController,updateBusinessUser,Access Control / Business Users,Updates user under a business. Takes tinNumber param and UpdateBusinessUserDto body. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Medium,Business user management. Updates roles/permissions for business sub-users.,Yes — access.business_user_updated,Yes,Yes,"tin_number, user_id, updated_fields, updated_by, trace_id","Yes — user details, business TIN.",No,,Yes,DB: User update within business context.,None.,No logging. No audit trail.,P2,Not Started,Business-scoped user management.
api/access/business/:tinNumber/toggle-user-status,POST,AccessController,toggleBusinessUserStatus,Access Control / Business Users,Toggles business user active status (activate/deactivate). Takes ToggleBusinessUserStatusDto.,Yes — JWT Bearer,AccessGuard,High,User activation/deactivation affects platform access. Compliance-sensitive.,Yes — access.business_user_status_toggled,Yes,Yes,"tin_number, user_id, new_status (active|inactive), toggled_by, trace_id",No,Yes,"auth_user_status_toggle_total{action=activate|deactivate,status=success|failure}",Yes,DB: User status update.,None.,No logging. No audit trail for user deactivation.,P1,Not Started,Deactivating users is security-sensitive. Needs audit.
api/access/create-permission,POST,AccessController,createPermission,Access Control / Permissions,Creates new permission. Protected by AccessGuard. Takes CreatePermissionDto.,Yes — JWT Bearer,AccessGuard,High,Permission creation defines platform authorization boundaries.,Yes — access.permission_created,Yes,Yes,"permission_name, permission_scope, created_by, trace_id",No,Yes,"auth_permission_operations_total{action=create,status=success|failure}",Yes,DB: Permission.create().,None.,No logging. No audit trail.,P1,Not Started,RBAC permission management.
api/access/get-roles,GET,AccessController,getRoles,Access Control / Roles,Retrieves all roles. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Low,Read-only role listing. Used by admin UI.,No,No,No,"role_count, trace_id",No,No,,No,DB: Role.findAll().,None.,No observability needed for read-only admin listing.,P3,Not Started,
api/access/get-permissions,POST,AccessController,getPermissions,Access Control / Permissions,Retrieves permissions with filtering/pagination. POST with body for complex queries. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Low,Read-only permission listing. Admin UI.,No,No,No,"permission_count, trace_id",No,No,,No,DB: Permission.findAll() with filters.,None.,No observability needed for read-only admin listing.,P3,Not Started,Uses POST for listing (non-standard REST).
api/access/role,POST,AccessController,getRoleByNameOrId,Access Control / Roles,Retrieves role by name or ID. POST with GetRoleByNameOrId body. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Low,Single role lookup. Admin UI.,No,No,No,"role_id, role_name, trace_id",No,No,,No,DB: Role.findOne().,None.,No observability needed.,P3,Not Started,Uses POST for lookup (non-standard REST).
api/access/manage-user-role,POST,AccessController,manageUserRole,Access Control / Role Assignment,Assigns or removes role from user. Takes ManageUserRoleDto. Protected by AccessGuard. Passes req for audit.,Yes — JWT Bearer,AccessGuard,Critical,Role assignment directly controls user authorization. Privilege escalation risk if not audited.,Yes — access.user_role_changed,Yes,Yes,"user_id, role_id, action (assign|remove), performed_by, trace_id",No,Yes,"auth_role_assignment_total{action=assign|remove,status=success|failure}",Yes,DB: RoleAssignment.create() or destroy().,None.,No logging. No audit trail. CRITICAL: privilege escalation risk without monitoring.,P0,Not Started,SECURITY: Role changes with no audit trail. Must log who changed what role for whom.
api/access/manage-role-permission,POST,AccessController,manageUserPermission,Access Control / Permission Assignment,Assigns or removes permission from role. Takes ManageRolePermissionDto. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Critical,Permission-to-role mapping controls authorization matrix. Changes affect all users with that role.,Yes — access.role_permission_changed,Yes,Yes,"role_id, permission_id, action (assign|remove), performed_by, trace_id",No,Yes,"auth_permission_assignment_total{action=assign|remove,status=success|failure}",Yes,DB: PermissionAssignment.create() or destroy().,None.,No logging. No audit trail. CRITICAL: permission changes affect all role holders.,P0,Not Started,SECURITY: Permission changes with no audit trail. Affects all users with assigned role.
api/access/get-all-users,POST,AccessController,getAllUsers,Access Control / User Management,Retrieves all users with filtering/pagination. POST with GetAllUsersDto body. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Low,Admin user listing. Read-only.,No,No,No,"user_count, page, per_page, trace_id",Yes — user PII in response.,No,,No,DB: User.findAll() with filters.,None.,No observability needed.,P3,Not Started,Uses POST for listing.
api/access/logout,POST,AccessController,logout,Authentication / Session,"Logs out user. Takes token, origin, device in body. NOT protected by AccessGuard.",Token in body,None,High,"Session termination. Must track for security — forced logouts, concurrent session management.",Yes — auth.logout,Yes,Yes,"user_id, origin, device_info, trace_id",Yes — token in body.,Yes,"auth_logout_total{status=success|failure}, auth_active_sessions_gauge",Yes,DB: Session/token invalidation.,None.,No logging. No session tracking. Cannot correlate login-logout lifecycle.,P1,Not Started,NOT protected by AccessGuard — anyone with a token can logout. No rate limiting.
api/access/manage-user-access,POST,AccessController,manageUserAccess,Access Control / User Management,Blocks or unblocks user. Takes ManageUserAccessDto. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Critical,User blocking affects platform access. Security action. Must audit who blocked whom and why.,Yes — access.user_access_changed,Yes,Yes,"user_id, action (block|unblock), performed_by, reason, trace_id",No,Yes,"auth_user_access_change_total{action=block|unblock,status=success|failure}",Yes,DB: User access status update.,None.,No logging. No audit trail. CRITICAL: user blocking is a security action.,P0,Not Started,SECURITY: User block/unblock with no audit trail.
api/access/create-user-admin,POST,AccessController,createAdminUser,Access Control / Admin Management,Creates admin user. Protected by AccessGuard. Uses @Trace() and @Span() decorators. Takes CreateUserAdminDto.,Yes — JWT Bearer,AccessGuard,Critical,Admin creation grants highest privileges. Must audit. Privilege escalation if unmonitored.,Yes — access.admin_created,Yes,Yes,"admin_user_id, admin_email, created_by, roles_assigned, trace_id, span_id",Yes — admin user credentials.,Yes,auth_admin_creation_total{status=success|failure},Yes,DB: User.create() + role assignment. External: Notification Service (email invite).,Has @Trace() and @Span() decorators.,Has trace/span but no domain event logging. No metrics. Admin creation without audit log.,P0,Not Started,SECURITY: Admin creation with trace/span but no audit log. Privilege escalation risk.
api/access/get-role-permission-mappings,GET,AccessController,getRolePermissionMappings,Access Control / RBAC,Retrieves all role-to-permission mappings. Protected by AccessGuard. Shows full authorization matrix.,Yes — JWT Bearer,AccessGuard,Medium,Authorization matrix visibility. Admin config read.,No,No,No,"mapping_count, trace_id",No,No,,No,DB: RolePermissionMapping join query.,None.,No observability needed for read-only.,P3,Not Started,Full RBAC matrix. Useful for auditors.
api/access/get-staff-members,POST,AccessController,getStaffMembers,Access Control / Staff,Retrieves staff members with filtering/pagination. POST with GetStaffMembersDto. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,Low,Staff listing. Admin UI.,No,No,No,"staff_count, page, trace_id",Yes — staff PII.,No,,No,DB: StaffUser.findAll() with filters.,None.,No observability needed.,P3,Not Started,
api/access/update-permission,POST,AccessController,updatePermission,Access Control / Permissions,Updates existing permission. Takes UpdatePermissionDto. Protected by AccessGuard.,Yes — JWT Bearer,AccessGuard,High,Permission modification affects authorization for all roles using it.,Yes — access.permission_updated,Yes,Yes,"permission_id, updated_fields, updated_by, trace_id",No,Yes,"auth_permission_operations_total{action=update,status=success|failure}",Yes,DB: Permission.update().,None.,No logging. No audit trail.,P1,Not Started,Permission updates affect all roles with that permission.
api/access/map-user,POST,AccessController,mapUser,Access Control / User Mapping,Creates mapping between user and role/entity. Takes MapUserDto. Protected by AccessGuard. Uses @User() decorator for current user context.,Yes — JWT Bearer,AccessGuard,High,User-to-entity mapping. Defines business relationships and access scope.,Yes — access.user_mapped,Yes,Yes,"user_id, mapping_type, entity_id, mapped_by, trace_id",No,Yes,"auth_user_mapping_total{action=map,status=success|failure}",Yes,DB: UserMap.create().,None.,No logging. No audit trail.,P1,Not Started,Uses @User() decorator for performer context.
api/access/create-business-user,POST,AccessController,createBusinessUser,Access Control / Business Users,Creates user under a business. Sends email invitation. Protected by AccessGuard. Uses @Trace() and @Span() decorators.,Yes — JWT Bearer,AccessGuard,High,Business user provisioning. Email invitation sent. NIDA/NID validation.,Yes — access.business_user_created,Yes,Yes,"business_tin, user_email, created_by, trace_id, span_id","Yes — user email, business data.",Yes,auth_business_user_creation_total{status=success|failure},Yes,"DB: User.create() in business context. External: Notification Service (email invite), NIDA API.",LoggerService.handleInfoLog/handlErrorLog with trace/span. Has @Trace() and @Span() decorators.,Has old-style Kafka logging + trace/span decorators. No domain events. No metrics.,P1,Partial,Uses OLD LoggerService (Kafka-based). Has trace/span decorators. Should migrate to ObservabilityLogger.
api/access/business/:tinNumber/users,POST,AccessController,getBusinessUsers,Access Control / Business Users,Lists users under a business. POST with pagination/sorting. Protected by AccessGuard. Uses @Trace() and @Span().,Yes — JWT Bearer,AccessGuard,Low,Business user listing. Admin/business admin UI.,No,No,No,"tin_number, user_count, page, trace_id, span_id",Yes — user PII in response.,No,,No,DB: User.findAll() by business tinNumber.,LoggerService.handleInfoLog/handlErrorLog with trace/span. Has @Trace() and @Span() decorators.,Has old-style Kafka logging. Should migrate to ObservabilityLogger.,P3,Partial,Uses OLD LoggerService (Kafka-based).
api/access/get-profile-by-role,POST,AccessController,fetchProfileByRole,Access Control / Profile,Fetches profile by role. Takes ProfileRoleDto. NOT protected by AccessGuard (no @UseGuards). Passes req to service.,No — no guard,None,Medium,Profile lookup by role. Missing guard could expose profile data.,No,No,Yes,"role_name, profile_found, trace_id",Yes — profile data in response.,No,,No,DB: Profile/User join query by role. External: Profile Service.,None.,No logging. No guard.,P2,Not Started,SECURITY: No @UseGuards — publicly accessible. No try/catch — unhandled errors crash.
api/staff/users,POST,StaffUserController,create,Staff / User Management,Creates new staff user. Protected by AccessGuard at controller level. Validates CreateStaffUserDto.,Yes — JWT Bearer,AccessGuard (controller-level),High,Staff user provisioning. Internal BRD employees. AD integration.,Yes — staff.user_created,Yes,Yes,"staff_email, staff_username, department_id, created_by, trace_id",Yes — staff PII.,Yes,auth_staff_user_creation_total{status=success|failure|conflict},Yes,DB: StaffUser.create().,console.error on failure. No structured logging.,Uses console.error — not structured. No metrics. No domain events.,P1,Not Started,Uses console.error instead of logger. Has Swagger decorators.
api/staff/users/all,POST,StaffUserController,findAll,Staff / User Management,Lists all staff users with filters. POST with GetStaffUsersDto. Controller-level AccessGuard.,Yes — JWT Bearer,AccessGuard (controller-level),Low,Staff listing. Admin UI.,No,No,No,"staff_count, filters, trace_id",Yes — staff PII.,No,,No,DB: StaffUser.findAll() with filters.,None.,No observability needed for admin listing.,P3,Not Started,Has Swagger decorators. Uses POST for listing.
api/staff/users/:id,GET,StaffUserController,findOne,Staff / User Management,"Gets staff user by ID. Optional includeRelations query param (department, unit, manager, subordinates).",Yes — JWT Bearer,AccessGuard (controller-level),Low,Single staff profile read. Admin UI.,No,No,No,"staff_id, include_relations, trace_id",Yes — staff PII.,No,,No,DB: StaffUser.findByPk() with optional includes.,None.,No observability needed.,P3,Not Started,Has Swagger decorators.
api/staff/users/:id/subordinates,GET,StaffUserController,getSubordinates,Staff / Org Structure,Gets subordinates (team members) for a manager. Returns hierarchical staff list.,Yes — JWT Bearer,AccessGuard (controller-level),Low,Org chart data. Read-only.,No,No,No,"manager_id, subordinate_count, trace_id",Yes — staff PII.,No,,No,DB: StaffUser.findAll() where managerId = id.,None.,No observability needed.,P3,Not Started,
api/staff/users/:id,PUT,StaffUserController,update,Staff / User Management,"Updates staff user. Takes UpdateStaffUserDto. Can update department, unit, manager, role.",Yes — JWT Bearer,AccessGuard (controller-level),High,Staff profile modification. Department/manager changes affect org structure.,Yes — staff.user_updated,Yes,Yes,"staff_id, updated_fields, updated_by, trace_id",Yes — staff PII.,Yes,auth_staff_user_update_total{status=success|failure|conflict},Yes,DB: StaffUser.update().,None.,No logging. No audit trail for staff changes.,P1,Not Started,Checks for circular reference in manager hierarchy.
api/staff/users/:id,DELETE,StaffUserController,remove,Staff / User Management,Soft deletes staff user (sets isActive=false). Returns 204.,Yes — JWT Bearer,AccessGuard (controller-level),High,Staff deactivation. Affects system access. Must audit.,Yes — staff.user_deactivated,Yes,Yes,"staff_id, deactivated_by, trace_id",No,Yes,auth_staff_user_deactivation_total{status=success|failure},Yes,DB: StaffUser.update(isActive=false).,None.,No logging. No audit trail. Staff deactivation without tracking.,P1,Not Started,Soft delete only. Can be reversed.
api/staff/users/:id/hard,DELETE,StaffUserController,hardDelete,Staff / User Management,Permanently deletes staff user from DB. Returns 204. IRREVERSIBLE.,Yes — JWT Bearer,AccessGuard (controller-level),Critical,Permanent data deletion. IRREVERSIBLE. Must have strict audit trail.,Yes — staff.user_hard_deleted,Yes,Yes,"staff_id, deleted_by, deletion_type=hard, trace_id",No,Yes,auth_staff_user_hard_delete_total{status=success|failure},Yes,DB: StaffUser.destroy().,None.,No logging. CRITICAL: Permanent deletion with no audit trail.,P0,Not Started,SECURITY: Hard delete with no audit. IRREVERSIBLE. Should require additional confirmation/approval.
api/staff/users/manage-role,POST,StaffUserController,manageRole,Staff / Role Management,Assigns or removes role from staff user. Takes ManageStaffUserRoleDto. Uses req.user for performer context.,Yes — JWT Bearer,AccessGuard (controller-level),Critical,Staff role assignment affects internal BRD authorization. Privilege escalation risk.,Yes — staff.role_changed,Yes,Yes,"staff_id, role_id, action (assign|remove), performed_by, trace_id",No,Yes,"auth_staff_role_change_total{action=assign|remove,status=success|failure}",Yes,DB: StaffUserRole.create() or destroy().,None.,No logging. No audit trail. Staff privilege changes unmonitored.,P0,Not Started,SECURITY: Staff role changes with no audit trail. Uses @ts-expect-error for req.user.
