Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
programs/:id,GET,ProgramsController,getProgram,Programs / Read,"Retrieves a single program by ID with KPIs, forms, and files.",Yes — AccessGuard,Role-based,Medium,Read-only. Loads full program graph.,"Yes — program.retrieved (debug), program.retrieval_failed",No,Yes,"program_id, operation=get, trace_id",No,No,,No,"DB: Program.findByPk() with includes",Domain events via logDomainEvent at debug level.,None — well instrumented.,P2,Done,
programs,POST,ProgramsController,createProgram,Programs / Write,"Creates a new program with KPIs, template, forms, and file uploads. Multi-step creation.",Yes — AccessGuard,Role-based,Critical,"Core business operation. Creates program with relationships. File uploads. Notification triggers.","Yes — program.created, program.creation_failed",Yes,Yes,"program_id, template_id, program_status, reporting_frequency, business_count, file_count, trace_id",No,Yes,"mel_program_created_total{status=success|failure}, mel_program_creation_duration_seconds",Yes,"DB: Program.create() in transaction, File Management Service, Notification Service, Workflow Service",Domain events via logDomainEvent/logDomainFailure. @Span('program-create') on service method.,None — well instrumented.,P0,Done,countFiles() tracks uploaded files across grouped fields.
programs/upload-files,POST,ProgramsController,uploadProgramFiles,Programs / Files,"Uploads one or more files to file management. 50MB limit per file.",Yes — AccessGuard,Role-based,High,"File uploads leave the system. Size limits enforced. Needs audit trail.","Yes — program.files_uploaded, program.files_upload_failed",Yes,Yes,"path, file_count, trace_id",No,Yes,"mel_program_files_uploaded_total, mel_file_upload_duration_seconds",Yes,"File Management Service",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
programs/:id/reports,POST,ProgramsController,submitReport,Programs / Reports,"Validates and stores a report submission with form values and uploaded Excel file.",Yes — AccessGuard,Role-based,Critical,"Core business operation. Report submission triggers workflow. Compliance-relevant.","Yes — report.submitted, report.submission_failed",Yes,Yes,"program_id, report_id, reference_number, new_status, file_count, trace_id",No,Yes,"mel_report_submitted_total{status=success|failure}, mel_report_submission_duration_seconds",Yes,"DB: ReportSubmission.create() in transaction, File Management Service, Workflow Service",Domain events via logDomainEvent/logDomainFailure.,None — well instrumented.,P0,Done,
programs/:id,PUT,ProgramsController,updateProgram,Programs / Write,"Partially updates an existing program with optional file uploads.",Yes — AccessGuard,Role-based,High,State change on existing program. File uploads possible.,"Yes — program.updated, program.update_failed",Yes,Yes,"program_id, updated_fields, file_count, trace_id",No,Yes,"mel_program_updated_total, mel_program_update_duration_seconds",Yes,"DB: Program.update(), File Management Service. @Span('program-update') on service method.",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
programs/:id/status,PUT,ProgramsController,updateProgramStatus,Programs / Write,"Changes only the status of an existing program.",Yes — AccessGuard,Role-based,High,"Status transitions affect program lifecycle. May trigger downstream workflows.","Yes — program.status_changed, program.status_change_failed",Yes,Yes,"program_id, new_status, trace_id",No,Yes,"mel_program_status_changed_total{new_status}",Yes,"DB: Program.update(). @Span('program-status-update') on service method.",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
programs/:id,DELETE,ProgramsController,deleteProgram,Programs / Write,Soft-deletes a program by ID.,Yes — AccessGuard,Role-based,High,"Destructive operation. Soft-delete but removes from active view.","Yes — program.deleted, program.deletion_failed",Yes,Yes,"program_id, trace_id",No,Yes,mel_program_deleted_total,No,"DB: Program.destroy() (paranoid soft-delete)",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
reports/summary,POST,ReportsController,getReportSummary,Reports / Read,Retrieves report summary for the logged-in user.,Yes — AccessGuard,Role-based,Medium,Read-only aggregation. User-scoped.,"Yes — report.retrieved (debug), report.retrieval_failed",No,Yes,"operation=summary, trace_id",No,Yes,mel_report_summary_total,No,"DB: ReportSubmission aggregate query",Domain events via logDomainEvent at debug level.,None.,P2,Done,
reports/search,POST,ReportsController,listReports,Reports / Read,"Lists report submissions with pagination and filters.",Yes — AccessGuard,Role-based,Medium,Read-only list with filtering.,"Yes — report.retrieved (debug), report.retrieval_failed",No,Yes,"operation=list, result_count, trace_id",No,Yes,"mel_report_list_total, mel_report_list_duration_seconds",No,"DB: ReportSubmission.findAndCountAll()",Domain events via logDomainEvent at debug level.,None.,P2,Done,
reports/:id,GET,ReportsController,getReportById,Reports / Read,Retrieves a single report submission by ID.,Yes — AccessGuard,Role-based,Medium,Read-only. Single report with relations.,"Yes — report.retrieved (debug), report.retrieval_failed",No,Yes,"report_id, operation=get, trace_id",No,No,,No,"DB: ReportSubmission.findByPk()",Domain events via logDomainEvent at debug level.,None.,P2,Done,
reports/:id/files/:templateId/download,GET,ReportsController,downloadReportFile,Reports / Files,"Downloads the report file generated for a template. Logged at info level for audit — file exports leave the system.","Yes — AccessGuard",Role-based,High,"File download leaves the system. Needs audit trail for compliance.","Yes — report.file_downloaded, report.file_download_failed",Yes,Yes,"report_id, template_id, mime_type, size_bytes, trace_id",No,Yes,"mel_report_file_downloaded_total, mel_report_file_download_size_bytes",Yes,"File Management Service (S3/storage)",Domain events via logDomainEvent at info level (audit). Tracks mime_type and size_bytes.,None — well instrumented.,P1,Done,Logged at info (not debug) because file exports are audit-relevant.
reports/:id/review,POST,ReportsController,reviewReport,Reports / Workflow,"Records a reviewer decision on a report submission. Triggers workflow state change.",Yes — AccessGuard,Role-based,Critical,"Approval workflow step. Changes report status. Compliance-sensitive.","Yes — report.reviewed, report.review_failed",Yes,Yes,"report_id, decision, new_status, trace_id",No,Yes,"mel_report_reviewed_total{decision}, mel_report_review_duration_seconds",Yes,"DB: ReportSubmission.update(), Workflow Service",Domain events via logDomainEvent/logDomainFailure. Logs decision + new_status.,None — well instrumented.,P0,Done,
reports/:id,PUT,ReportsController,updateReport,Reports / Write,"Updates a report submission and its files.",Yes — AccessGuard,Role-based,High,State change on submitted report. File uploads possible.,"Yes — report.updated, report.update_failed",Yes,Yes,"report_id, file_count, trace_id",No,Yes,"mel_report_updated_total, mel_report_update_duration_seconds",Yes,"DB: ReportSubmission.update(), File Management Service",Domain events via logDomainEvent/logDomainFailure. countFiles() used.,None.,P1,Done,
donors/search,POST,DonorsController,listDonors,Donors / Read,"Lists donors with pagination and filters.",Yes — AccessGuard,Role-based,Low,Read-only reference data.,"Yes — donor.retrieved (debug), donor.retrieval_failed",No,Yes,"operation=list, result_count, trace_id",No,No,,No,"DB: Donor.findAndCountAll()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
donors,POST,DonorsController,createDonor,Donors / Write,Creates a new donor.,Yes — AccessGuard,Role-based,Medium,Reference data creation. Low complexity.,"Yes — donor.created, donor.creation_failed",Yes,Yes,"donor_id, trace_id",No,Yes,mel_donor_created_total,No,"DB: Donor.create()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
donors/:id,PUT,DonorsController,updateDonor,Donors / Write,Updates an existing donor.,Yes — AccessGuard,Role-based,Medium,Reference data update.,"Yes — donor.updated, donor.update_failed",Yes,Yes,"donor_id, updated_fields, trace_id",No,Yes,mel_donor_updated_total,No,"DB: Donor.update()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
mel/forms,POST,FormsController,createForm,Forms / Write,"Creates a form with nested field structure.",Yes — AccessGuard,Role-based,High,"Forms define reporting structure. Linked to programs and templates.","Yes — form.created, form.creation_failed",Yes,Yes,"form_id, form_status, field_count, trace_id",No,Yes,"mel_form_created_total, mel_form_creation_duration_seconds",No,"DB: Form.create() with FormField + FormFieldOption in transaction",Domain events via logDomainEvent/logDomainFailure.,None — well instrumented.,P1,Done,
mel/forms/draft,GET,FormsController,getCurrentUserDraft,Forms / Drafts,Retrieves the current user's form draft.,Yes — AccessGuard,Role-based,Low,Read-only draft retrieval. User-scoped.,"Yes — form.retrieved (debug), form.retrieval_failed",No,Yes,"operation=get_draft, found, trace_id",No,No,,No,"DB: UserDraft.findOne()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
mel/forms/draft,PUT,FormsController,saveCurrentUserDraft,Forms / Drafts,Saves the current user's form draft.,Yes — AccessGuard,Role-based,Medium,State change: persists form draft.,"Yes — form.draft_saved, form.draft_save_failed",No,Yes,"draft_id, trace_id",No,Yes,mel_form_draft_saved_total,No,"DB: UserDraft.upsert()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
mel/forms/search,POST,FormsController,listForms,Forms / Read,"Lists forms with pagination and filters.",Yes — AccessGuard,Role-based,Low,Read-only list.,"Yes — form.retrieved (debug), form.retrieval_failed",No,Yes,"operation=list, result_count, trace_id",No,No,,No,"DB: Form.findAndCountAll()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
mel/forms/:id,GET,FormsController,getFormById,Forms / Read,Retrieves a single form by ID with its fields.,Yes — AccessGuard,Role-based,Low,Read-only. Single form with nested fields.,"Yes — form.retrieved (debug), form.retrieval_failed",No,Yes,"form_id, operation=get, trace_id",No,No,,No,"DB: Form.findByPk() with includes",Domain events via logDomainEvent at debug level.,None.,P3,Done,
mel/forms/:id,PUT,FormsController,updateForm,Forms / Write,Updates a form.,Yes — AccessGuard,Role-based,High,State change on form structure. Affects linked programs.,"Yes — form.updated, form.update_failed",Yes,Yes,"form_id, updated_fields, trace_id",No,Yes,mel_form_updated_total,No,"DB: Form.update()",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
kpis,POST,KpisController,createKpi,KPIs / Write,Creates a standalone KPI.,Yes — AccessGuard,Role-based,Medium,Reference data creation. Linked to programs.,"Yes — kpi.created, kpi.creation_failed",Yes,Yes,"kpi_id, indicator_code, trace_id",No,Yes,mel_kpi_created_total,No,"DB: Kpi.create()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
kpis/import,POST,KpisController,importKpis,KPIs / Write,"Bulk-creates KPIs from an uploaded Excel file.",Yes — AccessGuard,Role-based,High,"Bulk operation. Parses external file. Creates multiple records.","Yes — kpi.imported, kpi.import_failed",Yes,Yes,"created_count, has_file, trace_id",No,Yes,"mel_kpi_imported_total, mel_kpi_import_count",Yes,"XLSX parsing, DB: Kpi.bulkCreate()",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
kpis/search,POST,KpisController,listKpis,KPIs / Read,"Lists KPIs with pagination and optional program filter.",Yes — AccessGuard,Role-based,Low,Read-only list.,"Yes — kpi.retrieved (debug), kpi.retrieval_failed",No,Yes,"operation=list, result_count, trace_id",No,No,,No,"DB: Kpi.findAndCountAll()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
kpis/:id,GET,KpisController,getKpiById,KPIs / Read,Retrieves a single KPI by ID with linked programs.,Yes — AccessGuard,Role-based,Low,Read-only. Single record.,"Yes — kpi.retrieved (debug), kpi.retrieval_failed",No,Yes,"kpi_id, operation=get, trace_id",No,No,,No,"DB: Kpi.findByPk() with includes",Domain events via logDomainEvent at debug level.,None.,P3,Done,
kpis/:id,PUT,KpisController,updateKpi,KPIs / Write,Updates KPI details.,Yes — AccessGuard,Role-based,Medium,State change on reference data.,"Yes — kpi.updated, kpi.update_failed",Yes,Yes,"kpi_id, updated_fields, trace_id",No,Yes,mel_kpi_updated_total,No,"DB: Kpi.update()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
kpis/:id,DELETE,KpisController,deleteKpi,KPIs / Write,Deletes a KPI.,Yes — AccessGuard,Role-based,Medium,Destructive. May affect linked programs.,"Yes — kpi.deleted, kpi.deletion_failed",Yes,Yes,"kpi_id, trace_id",No,Yes,mel_kpi_deleted_total,No,"DB: Kpi.destroy()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
templates,POST,TemplatesController,createTemplate,Templates / Write,"Creates a reporting template from JSON headers or an uploaded Excel file.",Yes — AccessGuard,Role-based,Critical,"Templates define report structure. Linked to programs. Excel parsing involved.","Yes — template.created, template.creation_failed",Yes,Yes,"template_id, source (json|excel_file), header_count, trace_id",No,Yes,"mel_template_created_total{source}, mel_template_creation_duration_seconds",Yes,"DB: Template.create() with TemplateHeader in transaction, XLSX parsing (if Excel)",Domain events via logDomainEvent/logDomainFailure. Tracks source (json vs excel_file).,None — well instrumented.,P0,Done,
templates/draft,GET,TemplatesController,getCurrentUserDraft,Templates / Drafts,Retrieves the current user's template draft.,Yes — AccessGuard,Role-based,Low,Read-only draft retrieval. User-scoped.,"Yes — template.retrieved (debug), template.retrieval_failed",No,Yes,"operation=get_draft, found, trace_id",No,No,,No,"DB: UserDraft.findOne()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
templates/draft,PUT,TemplatesController,saveCurrentUserDraft,Templates / Drafts,Saves the current user's template draft.,Yes — AccessGuard,Role-based,Medium,State change: persists template draft.,"Yes — template.draft_saved, template.draft_save_failed",No,Yes,"draft_id, trace_id",No,Yes,mel_template_draft_saved_total,No,"DB: UserDraft.upsert()",Domain events via logDomainEvent/logDomainFailure.,None.,P2,Done,
templates/search,POST,TemplatesController,listTemplates,Templates / Read,"Lists templates with pagination and filters.",Yes — AccessGuard,Role-based,Low,Read-only list.,"Yes — template.retrieved (debug), template.retrieval_failed",No,Yes,"operation=list, result_count, trace_id",No,No,,No,"DB: Template.findAndCountAll()",Domain events via logDomainEvent at debug level.,None.,P3,Done,
templates/:id,GET,TemplatesController,getTemplateById,Templates / Read,Retrieves a single template by ID with headers.,Yes — AccessGuard,Role-based,Low,Read-only. Single template with nested headers.,"Yes — template.retrieved (debug), template.retrieval_failed",No,Yes,"template_id, operation=get, trace_id",No,No,,No,"DB: Template.findByPk() with TemplateHeader",Domain events via logDomainEvent at debug level.,None.,P3,Done,
templates/:id,PUT,TemplatesController,updateTemplate,Templates / Write,Updates a template.,Yes — AccessGuard,Role-based,High,State change on template structure. Affects linked programs.,"Yes — template.updated, template.update_failed",Yes,Yes,"template_id, updated_fields, trace_id",No,Yes,mel_template_updated_total,No,"DB: Template.update()",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
templates/:id,DELETE,TemplatesController,deleteTemplate,Templates / Write,Deletes a template.,Yes — AccessGuard,Role-based,High,Destructive. May affect linked programs and reports.,"Yes — template.deleted, template.deletion_failed",Yes,Yes,"template_id, trace_id",No,Yes,mel_template_deleted_total,No,"DB: Template.destroy()",Domain events via logDomainEvent/logDomainFailure.,None.,P1,Done,
[Kafka] WorkflowTaskCompleted,Kafka Consumer,ReportWorkflowEventsController,workflowTaskCompleted,Reports / Workflow,"Processes completed workflow tasks to update report submission status. Failures swallowed to avoid blocking consumer.",N/A — internal Kafka event,N/A,Critical,"Drives report approval workflow. Failure silently skips — needs monitoring.","Yes — report.workflow_task_processed, report.workflow_task_processing_failed",Yes,Yes,"entity_ref, namespace, workflow_entity_type, action, request_info_type, role, wf_instance_id, wf_task_id, trace_id",No,Yes,"mel_workflow_task_processed_total{status=success|failure}, mel_workflow_task_processing_duration_seconds",Yes,"DB: ReportSubmission.update(), ProgramsService.handleReportWorkflowTaskCompleted(). @Span('report-workflow-task-completed') on service method.",Domain events via logDomainEvent/logDomainFailure. Uses ActorType.SYSTEM + Channel.KAFKA. Errors swallowed intentionally.,None — well instrumented. Best Kafka consumer pattern across all services.,P0,Done,Errors swallowed by design (don't block consumer). Failures logged and counted.
