Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/procurement-plan/items/:id,GET,ProcurementPlanController,getItem,E-Procurement / Procurement Plans,Returns single plan item with plan and documents.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Detail view. Read-only.,No — read-only,No,Yes,"plan_item_id, trace_id",None.,No,,No,"DB: Tender.ProcurementPlanItems with ProcurementPlan, ProcurementDocuments. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/procurement-plan/items/:id,PATCH,ProcurementPlanController,updatePlanItem,E-Procurement / Procurement Plans,Updates plan item fields. Re-validates budget if estimatedCost or budgetCode changed. Only for DRAFT/NEEDS_INFO items.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Plan item edit. Conditional budget re-validation.,No — update operation,No,Yes,"plan_item_id, updated_fields, trace_id",Budget amounts (if cost changed).,No,,Yes,"DB: Tender.ProcurementPlanItems (read, update), Tender.ProcurementPlans (read if budget validation). HTTP: Configuration Service (budget, conditional), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/procurement-plan/items/:id/resume,POST,ProcurementPlanController,resumePlanItem,E-Procurement / Procurement Plans,Resumes workflow for plan item in NEEDS_INFO status. Transitions to UNDER_REVIEW.,Yes — AccessGuard (class-level),JWT + RBAC,High,Workflow resume. State transition from NEEDS_INFO to UNDER_REVIEW.,No — workflow resume,No,Yes,"plan_item_id, workflow_action, trace_id",None.,Yes,eproc_workflow_resume_duration_seconds{entity_type=PLAN_ITEM},Yes,"DB: Tender.ProcurementPlanItems (read, update). HTTP: Workflow Service (resume), Access Management Service (guard).",None.,No observability. Workflow resume not tracked.,P1,Not Started,
api/procurement-plan/:planId/reopen,POST,ProcurementPlanController,reopenPlan,E-Procurement / Procurement Plans,Reopens READY plan back to ACTIVE.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Plan status reversal. Audit-worthy action.,No — status change,Yes,Yes,"plan_id, trace_id",None.,No,,Yes,"DB: Tender.ProcurementPlans (read, update). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/procurement-plan/:planId/close,POST,ProcurementPlanController,closePlan,E-Procurement / Procurement Plans,Closes ACTIVE plan to READY. Validates all items completed.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Plan completion. Validates all items are in terminal status.,No — status change,Yes,Yes,"plan_id, all_items_complete, trace_id",None.,No,,Yes,"DB: Tender.ProcurementPlans (read, update), Tender.ProcurementPlanItems (count non-completed). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/procurement-plan/active-plan,POST,ProcurementPlanController,getCurrentPlan,E-Procurement / Procurement Plans,Returns active plan for user's department in current fiscal year.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped active plan lookup.,No — read-only,No,Yes,"department_code, fiscal_year, trace_id",None.,No,,Yes,"DB: Tender.ProcurementPlans (read). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/requisitions/list,POST,RequisitionsController,getRequisitions,E-Procurement / Requisitions,"Paginated list of all requisitions with filters (search, status, department).",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin listing. Read-only.,No — read-only listing,No,Yes,"page, limit, filters, result_count, trace_id",None.,No,,Yes,DB: Tender.Requisitions (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P2,Not Started,
api/requisitions/department,POST,RequisitionsController,getDepartmentRequisitions,E-Procurement / Requisitions,Requisitions filtered by user's department via Auth Service.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped listing.,No — read-only,No,Yes,"department_codes, result_count, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (findAndCountAll). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/requisitions/:requisitionId/lines/list,POST,RequisitionsController,getRequisitionLines,E-Procurement / Requisitions,Paginated requisition lines for a given requisition.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Requisition line listing. Read-only.,No — read-only,No,Yes,"requisition_id, result_count, trace_id",None.,No,,No,DB: Tender.RequisitionLines (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/requisitions/lines/department,POST,RequisitionsController,getDepartmentRequisitionLines,E-Procurement / Requisitions,Requisition lines filtered by user's department.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped line listing.,No — read-only,No,Yes,"department_codes, result_count, trace_id",None.,No,,Yes,"DB: Tender.RequisitionLines, Tender.Requisitions (join). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/requisitions/lines,POST,RequisitionsController,getAllRequisitionLines,E-Procurement / Requisitions,Paginated all requisition lines across all requisitions.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Cross-requisition line listing. Read-only.,No — read-only,No,Yes,"page, limit, result_count, trace_id",None.,No,,No,DB: Tender.RequisitionLines (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/requisitions/:id,GET,RequisitionsController,getRequisitionById,E-Procurement / Requisitions,Single requisition with lines and line documents.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Detail view. Read-only.,No — read-only,No,Yes,"requisition_id, trace_id",None.,No,,Yes,DB: Tender.Requisitions with RequisitionLines and RequisitionLineDocuments. HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/requisitions/:requisitionId/lines/:id,GET,RequisitionsController,getRequisitionLineById,E-Procurement / Requisitions,Single requisition line with documents.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Line detail view. Read-only.,No — read-only,No,Yes,"requisition_id, line_id, trace_id",None.,No,,No,DB: Tender.RequisitionLines with RequisitionLineDocuments. HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/requisitions/:requisitionId/lines/:id/documents,GET,RequisitionsController,getRequisitionLineDocuments,E-Procurement / Requisitions,Returns documents for a requisition line.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Document listing. Read-only.,No — read-only,No,Yes,"requisition_id, line_id, trace_id",None.,No,,No,"DB: Tender.RequisitionLines, Tender.RequisitionLineDocuments. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/requisitions/:requisitionId/lines/:id/allocation,GET,RequisitionsController,getRequisitionLineAllocation,E-Procurement / Requisitions,Returns allocation summary for a requisition line — lots allocated from this line.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Allocation tracking. Links requisition lines to tender lots.,No — read-only,No,Yes,"requisition_id, line_id, allocated_amount, trace_id",Allocated amounts.,No,,Yes,"DB: Tender.RequisitionLines, Tender.TenderLots (where requisitionLineId). HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/requisitions,POST,RequisitionsController,createRequisition,E-Procurement / Requisitions,Creates requisition with budget validation and TAT calculation. Validates budget via Configuration Service. Checks department code match. Computes TAT dates. Creates within transaction.,Yes — AccessGuard (class-level),JWT + RBAC,High,Requisition creation. Budget validation ensures fiscal compliance. TAT calculation drives procurement timeline.,No — requisition creation,No,Yes,"requisition_id, department_code, budget_code, estimated_total, trace_id",Budget amounts.,Yes,"eproc_requisition_created_total, eproc_budget_validation_duration_seconds",Yes,"DB: Tender.Requisitions (create in transaction). HTTP: Configuration Service (budget), Auth Service (getUserDepartments), Configuration Service (TAT defaults), Access Management Service (guard).",None.,No observability.,P1,Not Started,
api/requisitions/:requisitionId/lines,POST,RequisitionsController,createRequisitionLine,E-Procurement / Requisitions,Creates requisition line with optional file attachments and PDF generation. Uses SELECT FOR UPDATE for lineNo generation (maxLine). Computes estimatedAmount = quantity * unitPrice. Synchronizes requisition totals.,Yes — AccessGuard (class-level),JWT + RBAC,High,Line creation with SELECT FOR UPDATE locking for sequential numbering. Amount calculation. Total synchronization.,No — line creation,No,Yes,"requisition_id, line_no, quantity, unit_price, estimated_amount, trace_id",Financial amounts.,Yes,eproc_requisition_line_created_total,Yes,"DB: Tender.Requisitions (read), Tender.RequisitionLines (SELECT FOR UPDATE for maxLine, create), Tender.RequisitionLineDocuments (create if files). HTTP: File Management Service (if files), Access Management Service (guard).",None.,No observability. SELECT FOR UPDATE contention not tracked.,P1,Not Started,SELECT FOR UPDATE on RequisitionLine for lineNo generation.
api/requisitions/:requisitionId/lines/:id/submit,POST,RequisitionsController,submitRequisitionLine,E-Procurement / Requisitions,"Submits requisition line. SELECT FOR UPDATE on line. Validates submittable status (DRAFT, NEEDS_INFO). Starts workflow (PROCUREMENT, REQUISITION_LINE). Transitions line to UNDER_REVIEW. Transitions requisition to UNDER_REVIEW.",Yes — AccessGuard (class-level),JWT + RBAC,Critical,State transition triggering approval workflow. SELECT FOR UPDATE prevents concurrent submissions. Workflow start failure leaves line in limbo.,REQUISITION_LINE_SUBMITTED,Yes,Yes,"requisition_id, line_id, workflow_instance_id, trace_id",None.,Yes,"eproc_requisition_line_submitted_total, eproc_workflow_start_duration_seconds{entity_type=REQUISITION_LINE}",Yes,"DB: Tender.RequisitionLines (SELECT FOR UPDATE, update), Tender.Requisitions (read, update), Tender.ProcurementPlanItems (read). HTTP: Workflow Service (schema + start), Access Management Service (guard).",None.,No observability. Critical state transition completely untracked.,P0,Not Started,SELECT FOR UPDATE on RequisitionLine.
api/requisitions/:requisitionId/lines/:id/resume,POST,RequisitionsController,resumeRequisitionLine,E-Procurement / Requisitions,Resumes workflow for line in NEEDS_INFO status. Transitions to UNDER_REVIEW.,Yes — AccessGuard (class-level),JWT + RBAC,High,Workflow resume for stalled requisition line.,No — workflow resume,No,Yes,"requisition_id, line_id, trace_id",None.,Yes,eproc_workflow_resume_duration_seconds{entity_type=REQUISITION_LINE},Yes,"DB: Tender.RequisitionLines (read, update), Tender.Requisitions (read, update). HTTP: Workflow Service (resume), Access Management Service (guard).",None.,No observability.,P1,Not Started,
api/requisitions/:id/reopen,POST,RequisitionsController,reopenRequisition,E-Procurement / Requisitions,Reopens READY requisition to ACTIVE. SELECT FOR UPDATE.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Requisition status reversal with SELECT FOR UPDATE.,No — status change,Yes,Yes,"requisition_id, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (SELECT FOR UPDATE, update). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on Requisition.
api/requisitions/:id/close,POST,RequisitionsController,closeRequisition,E-Procurement / Requisitions,Closes ACTIVE requisition to READY. SELECT FOR UPDATE. Validates all lines completed.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Requisition completion with validation and SELECT FOR UPDATE.,No — status change,Yes,Yes,"requisition_id, all_lines_complete, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (SELECT FOR UPDATE, update), Tender.RequisitionLines (count non-completed). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on Requisition.
api/requisitions/:id,PATCH,RequisitionsController,updateRequisition,E-Procurement / Requisitions,"Updates requisition fields. SELECT FOR UPDATE. If requesterUser changed: resolves new user via Auth Service, sends assignee change notification email.",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Requisition edit with assignee change notification. SELECT FOR UPDATE.,No — update,No,Yes,"requisition_id, updated_fields, assignee_changed, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (SELECT FOR UPDATE, update). HTTP: Auth Service (getStaffUserById, conditional), Notification Service (assignee changed email, conditional), Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on Requisition.
api/requisitions/:requisitionId/lines/:id,PATCH,RequisitionsController,updateRequisitionLine,E-Procurement / Requisitions,Updates requisition line. SELECT FOR UPDATE. Validates DRAFT/NEEDS_INFO. Recomputes estimatedAmount = quantity * unitPrice. Synchronizes requisition totals.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Line edit with amount recalculation and total sync. SELECT FOR UPDATE.,No — update,No,Yes,"requisition_id, line_id, updated_fields, trace_id",Financial amounts.,No,,Yes,"DB: Tender.RequisitionLines (SELECT FOR UPDATE, update), Tender.Requisitions (update totals). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on RequisitionLine.
api/requisitions/:id,DELETE,RequisitionsController,deleteRequisition,E-Procurement / Requisitions,Deletes requisition. Validates exists. Destroys within transaction.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Destructive operation. Should have audit trail.,No — delete,Yes,Yes,"requisition_id, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (read, delete). HTTP: Access Management Service (guard).",None.,No observability. Destructive operation with no audit logging.,P2,Not Started,Destructive operation.
api/requisitions/:requisitionId/lines/:id,DELETE,RequisitionsController,deleteRequisitionLine,E-Procurement / Requisitions,Deletes requisition line. SELECT FOR UPDATE. Validates editable status. Synchronizes requisition totals.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Destructive with SELECT FOR UPDATE. Total sync after delete.,No — delete,Yes,Yes,"requisition_id, line_id, trace_id",None.,No,,Yes,"DB: Tender.RequisitionLines (SELECT FOR UPDATE, delete), Tender.Requisitions (update totals). HTTP: Access Management Service (guard).",None.,No observability. Destructive operation with no audit.,P2,Not Started,SELECT FOR UPDATE on RequisitionLine.
api/requisitions/our-requisitions,POST,RequisitionsController,ourRequisition,E-Procurement / Requisitions,Returns current user's department requisition.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped self-service view.,No — read-only,No,Yes,"department_code, trace_id",None.,No,,Yes,"DB: Tender.Requisitions (read). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/requisitions/:requisitionId/lines/:id/add-docs,PUT,RequisitionsController,addRequisitionLineDocument,E-Procurement / Requisitions,Uploads PDF documents to existing requisition line. Generates PDFs from template files. Uploads via File Management Service.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Document upload for requisition lines.,No — file upload,No,Yes,"requisition_id, line_id, document_count, trace_id",Document contents.,No,,Yes,"DB: Tender.RequisitionLines (read), Tender.RequisitionLineDocuments (create). HTTP: File Management Service, Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/tenders/list,POST,TendersController,getTenders,E-Procurement / Tenders,Paginated list of all tenders with filters.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin listing. Read-only.,No — read-only listing,No,Yes,"page, limit, filters, result_count, trace_id",None.,No,,Yes,DB: Tender.Tenders (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P2,Not Started,
api/tenders/department,POST,TendersController,getDepartmentTenders,E-Procurement / Tenders,Tenders filtered by user's department.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped listing.,No — read-only,No,Yes,"department_codes, result_count, trace_id",None.,No,,Yes,"DB: Tender.Tenders (findAndCountAll). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/tenders/:tenderId/lots/list,POST,TendersController,getTenderLots,E-Procurement / Tenders,Paginated tender lots for a given tender.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Tender lots listing. Read-only.,No — read-only,No,Yes,"tender_id, result_count, trace_id",None.,No,,No,DB: Tender.TenderLots (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/tenders/lots/department,POST,TendersController,getDepartmentTenderLots,E-Procurement / Tenders,Tender lots filtered by user's department.,Yes — AccessGuard (class-level),JWT + RBAC + department filtering,Medium,Department-scoped lot listing.,No — read-only,No,Yes,"department_codes, result_count, trace_id",None.,No,,Yes,"DB: Tender.TenderLots, Tender.Tenders (join). HTTP: Auth Service (getUserDepartments), Access Management Service (guard).",None.,No observability.,P2,Not Started,
api/tenders/lots,POST,TendersController,getAllTenderLots,E-Procurement / Tenders,Paginated all tender lots across all tenders.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Cross-tender lot listing. Read-only.,No — read-only,No,Yes,"page, limit, result_count, trace_id",None.,No,,No,DB: Tender.TenderLots (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
api/tenders/:id,GET,TendersController,getTenderById,E-Procurement / Tenders,"Single tender with lots, requisition, participations.",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Tender detail view. Read-only.,No — read-only,No,Yes,"tender_id, trace_id",None.,No,,Yes,"DB: Tender.Tenders with TenderLots, Requisition includes. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/tenders/:tenderId/lots/:id,GET,TendersController,getTenderLotById,E-Procurement / Tenders,Single tender lot with documents.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Lot detail view. Read-only.,No — read-only,No,Yes,"tender_id, lot_id, trace_id",None.,No,,No,"DB: Tender.TenderLots, Tender.TenderLotDocuments. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/tenders/:tenderId/lots/:id/documents,GET,TendersController,getTenderLotDocuments,E-Procurement / Tenders,Returns documents for a tender lot.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Document listing. Read-only.,No — read-only,No,Yes,"tender_id, lot_id, trace_id",None.,No,,No,"DB: Tender.TenderLots, Tender.TenderLotDocuments. HTTP: Access Management Service (guard).",None.,No observability.,P3,Not Started,
api/tenders/:tenderId/participations,POST,TendersController,registerParticipation,E-Procurement / Tenders,Registers supplier participation in a tender. SELECT FOR UPDATE on Tender. Validates published status. Creates TenderParticipation record.,Yes — AccessGuard (class-level),JWT + RBAC,High,Supplier registration for tender participation. SELECT FOR UPDATE prevents race conditions. Business identity recorded.,No — participation registration,Yes,Yes,"tender_id, supplier_business_id, supplier_name, trace_id","Supplier identity (businessId, name, contact).",Yes,eproc_tender_participation_total,Yes,"DB: Tender.Tenders (SELECT FOR UPDATE), Tender.TenderParticipations (create). HTTP: Access Management Service (guard).",None.,No observability. Participation tracking not metered.,P1,Not Started,SELECT FOR UPDATE on Tender.
api/tenders/:tenderId/participations/:partId/fee,POST,TendersController,recordParticipationFee,E-Procurement / Tenders,Records participation fee payment. SELECT FOR UPDATE on Tender.,Yes — AccessGuard (class-level),JWT + RBAC,High,Payment recording. Financial operation. SELECT FOR UPDATE.,No — payment recording,Yes,Yes,"tender_id, participation_id, payment_amount, receipt_reference, trace_id","Payment amount, receipt reference.",Yes,"eproc_participation_fee_total, eproc_participation_fee_amount_sum",Yes,"DB: Tender.Tenders (SELECT FOR UPDATE), Tender.TenderParticipations (read, update). HTTP: Access Management Service (guard).",None.,No observability. Financial operation with no audit.,P1,Not Started,SELECT FOR UPDATE on Tender. Financial operation.
api/tenders/:id/reopen,POST,TendersController,reopenTender,E-Procurement / Tenders,Reopens READY tender to ACTIVE. SELECT FOR UPDATE. assertTenderAssigneeAccess.,Yes — AccessGuard (class-level),JWT + RBAC + assignee access,Medium,Tender status reversal with ownership check.,No — status change,Yes,Yes,"tender_id, trace_id",None.,No,,Yes,"DB: Tender.Tenders (SELECT FOR UPDATE, update). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on Tender.
api/tenders/:id/close,POST,TendersController,closeTender,E-Procurement / Tenders,Closes ACTIVE tender to READY. SELECT FOR UPDATE. assertTenderAssigneeAccess.,Yes — AccessGuard (class-level),JWT + RBAC + assignee access,Medium,Tender completion with ownership check.,No — status change,Yes,Yes,"tender_id, trace_id",None.,No,,Yes,"DB: Tender.Tenders (SELECT FOR UPDATE, update). HTTP: Access Management Service (guard).",None.,No observability.,P2,Not Started,SELECT FOR UPDATE on Tender.
api/tenders/:tenderId/publications/retract,POST,TendersController,retractTender,E-Procurement / Tenders,Retracts all published publications. SELECT FOR UPDATE on Tender. Updates publications to RETRACTED with retraction reason. Updates lots to RETRACTED. Transitions tender to RETRACTED.,Yes — AccessGuard (class-level),JWT + RBAC + assignee access,Critical,Tender retraction is a major procurement action affecting all suppliers who participated. Irreversible. All lots and publications affected.,No — but should emit domain event,Yes,Yes,"tender_id, retraction_reason, publications_retracted, lots_retracted, trace_id",None.,Yes,eproc_tender_retracted_total,Yes,"DB: Tender.Tenders (SELECT FOR UPDATE, update), Tender.TenderPublications (read, update bulk), Tender.TenderLots (update bulk). HTTP: Access Management Service (guard).",None.,No observability. Critical irreversible action with no audit trail in logs.,P0,Not Started,SELECT FOR UPDATE. Irreversible. Bulk status change.
api/tenders/lots/:tenderLotId/publications,POST,TendersController,getTenderLotPublications,E-Procurement / Tenders,Paginated publications for a tender lot.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Publication listing. Read-only.,No — read-only,No,Yes,"tender_lot_id, result_count, trace_id",None.,No,,No,DB: Tender.TenderPublications (findAndCountAll). HTTP: Access Management Service (guard).,None.,No observability.,P3,Not Started,
