Endpoint,HTTP Method,Controller,Action/Method,Domain/Feature,Description,Authentication,Authorization,Criticality,Criticality Reason,Domain Event,Audit Required,Log Required,Important Log Fields,Sensitive Data,Metrics Required,Recommended Metrics,Trace Required,Dependencies,Existing Observability,Observability Gap,Priority,Migration Status,Notes
api/guarantee-applications/lookup,POST,GuaranteeApplicationController,lookupGuaranteeApplication,ECGF / Guarantee Applications,Quick lookup by applicationNumber or NID/TIN.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,"Search utility. Failure is an inconvenience, not a blocker.",No — read-only,No,Yes,"search_type (applicationNumber|NID|TIN), search_value, trace_id",JWT token. NID/TIN in search query.,No,,Yes,DB: Guarantee.Applications. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee/generate/agreement,GET,GuaranteeController,generateGuaranteeTemplate,ECGF / Guarantee Documents,Batch-generates GFA (Guarantee Framework Agreement) PDFs. Finds first un-picked Approved PFI. Fetches HTML template from Configuration Service. Renders with PFI values. Generates PDF. Uploads to file server. Saves to GfaDocuments with GFA-xxx reference. Marks PFI as picked=true.,No — UNPROTECTED (public endpoint),None,Critical,GFA generation is a critical step in the guarantee lifecycle — produces the legal framework agreement document. Unprotected endpoint handling sensitive PFI data. Batch processing with no concurrency control visible. Template rendering failure produces invalid legal documents.,ecgf.gfa_generated,Yes,Yes,"institution_id, institution_name, gfa_reference, template_source, pdf_generation_duration_ms, trace_id, span_id","TIN, email, officeLocation embedded in generated PDF. PFI signing details.",Yes,"ecgf_gfa_generation_total{status=success|failure}, ecgf_gfa_generation_duration_seconds, ecgf_gfa_pending_count",Yes,"DB: Application.FinancialInstitutionsApplications (find unpicked + update picked). Guarantee.GfaDocuments (create). HTTP: Configuration Service (template fetch), File Management Service (PDF upload).","Extensive step-by-step LoggerService logging. @Trace(), @Span() decorators.",SECURITY: Endpoint is unprotected — anyone can trigger GFA generation. No batch processing metrics. No template rendering failure tracking. No rate limiting.,P0,Not Started,SECURITY: Public endpoint that generates legal documents. Must add authentication. Customer-facing: No (internal/batch). Has best logging in module.
api/guarantee/:applicationId/guarantee-framework,GET,GuaranteeController,viewGuarantee,ECGF / Guarantee Documents,Returns most recent GfaDocument for given applicationId. Excludes renderedContent from response.,Yes — AccessGuard,JWT + RBAC,Medium,GFA document viewing. Read-only.,No — read-only,No,Yes,"application_id, gfa_document_id, trace_id",JWT token.,No,,Yes,DB: Guarantee.GfaDocuments. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee/:gfaDocumentId/upload,POST,GuaranteeController,uploadGuaranteeFramework,ECGF / Guarantee Documents,Uploads signed GFA document. Validates not already uploaded. Calls iBank APEX for PFI corporate account onboarding/verification (checkoutAccount). Uploads file to file server. Creates child GfaDocument record. For HIBRID/PORTFOLIO channel: creates invoice at Payment Service with commitment rate calculation.,Yes — AccessGuard,JWT + RBAC,Critical,Signed GFA upload activates the guarantee framework. Triggers iBank APEX corporate account setup and invoice creation. Multiple external system dependencies — any failure blocks the guarantee activation. Financial calculations (commitment fee) must be accurate.,ecgf.gfa_signed_uploaded,Yes,Yes,"gfa_document_id, institution_id, channel, apex_account_status, invoice_created, commitment_amount, trace_id, span_id","Settlement account number (p_num_cpt), settlement account identifier (p_pin_clt), signed GFA document content.",Yes,"ecgf_gfa_upload_total{status=success|failure}, ecgf_apex_onboarding_duration_seconds, ecgf_invoice_creation_total{status=success|failure}",Yes,"DB: Guarantee.GfaDocuments (update + create child). HTTP: iBank APEX (OAuth + corporate onboarding), File Management Service (upload), Payment Service (invoice creation).",LoggerService via Kafka logging.info.,No iBank APEX latency tracking. No invoice creation metrics. Settlement account data handling not logged. Critical multi-system transaction with no observability on individual step failures.,P0,Not Started,Customer-facing: Yes (PFI uploads signed GFA). HARD_CODED_COMMITMENT_RATE used for fee calculation.
api/guarantee/generate/letter-of-guarantee,GET,GuaranteeController,generateLetterOfGuarantee,ECGF / Guarantee Documents,"Batch processes approved guarantee applications to generate LoG PDFs. Uses SELECT FOR UPDATE SKIP LOCKED to claim batches (limit: GUARANTEE_APPLICATION_PROCESS_LIMIT, default 15). Sets processing=true to prevent concurrent processing. For each: fetches signatories by role, downloads signature images, fetches product-specific LoG template, renders PDF with embedded signatures, uploads to file server, creates LOGInvoiceJobStatus record, async-fires invoice generation. On failure releases claim.",No — UNPROTECTED (public/batch),None,Critical,"LoG generation produces the legally binding guarantee letter. Database-level locking (SKIP LOCKED) for concurrency. Multiple external service dependencies per application (Auth, Config, File, Payment, iBank APEX). Batch failures can leave applications in processing=true limbo. Signature embedding requires role-based staff lookup.",ecgf.log_generated,Yes,Yes,"batch_size, applications_processed, applications_failed, signatory_roles, template_source, processing_duration_ms, trace_id, span_id","Signatory signature URLs, TIN, settlement accounts, borrower details embedded in LoG PDF.",Yes,"ecgf_log_generation_total{status=success|failure}, ecgf_log_generation_batch_size, ecgf_log_generation_duration_seconds, ecgf_log_generation_stuck_count (processing=true for >threshold)",Yes,"DB: Guarantee.Applications (SELECT FOR UPDATE SKIP LOCKED), Guarantee.GuaranteeLetterDocuments (create), Guarantee.LOGInvoiceJobStatus (create). HTTP: Auth Service (signatory lookup by role), Configuration Service (template), File Management Service (PDF + signature uploads), Payment Service (invoice), iBank APEX (settlement account).",Extensive step-by-step LoggerService logging.,SECURITY: Endpoint is unprotected. No batch processing metrics. No stuck-processing detection. No per-application failure tracking in metrics. Critical batch job with no alerting capability.,P0,Not Started,SECURITY: Public endpoint that generates legally binding documents with embedded signatures. Must add authentication. Customer-facing: No (internal batch). SKIP LOCKED concurrency is a good pattern.
api/guarantee/generate/generate-invoice,GET,GuaranteeController,resolvePendingInvoice,ECGF / Guarantee Documents,Retries all pending invoice jobs (status=READY). Batch size limited by INVOICE_MAX_BATCH (default 100). Verifies application still approved. Calls iBank APEX for settlement account. Posts invoice to Payment Service. Retries up to INVOICE_MAX_RETRY (default 5) then marks FAILED.,No — UNPROTECTED (public/batch),None,Critical,Invoice generation drives the payment/billing workflow. Failure means PFIs are not billed for guarantee coverage. Retry mechanism with max attempts prevents infinite loops but failed invoices need manual intervention.,ecgf.invoice_batch_resolved,No,Yes,"batch_size, invoices_resolved, invoices_failed, retry_counts, trace_id","Settlement account numbers, invoice amounts.",Yes,"ecgf_invoice_resolution_total{status=success|failure|max_retry_exceeded}, ecgf_invoice_pending_count, ecgf_invoice_resolution_duration_seconds",Yes,"DB: Guarantee.LOGInvoiceJobStatus (find READY, update status). HTTP: iBank APEX (settlement account), Payment Service (create invoice).",LoggerService via Kafka logging.info.,SECURITY: Endpoint is unprotected. No invoice resolution metrics. No alerting on FAILED invoices. No visibility into retry exhaustion.,P0,Not Started,SECURITY: Public endpoint that triggers financial operations. Must add authentication. Customer-facing: No (internal batch).
api/guarantee/generate/generate-invoice/:applicationId,GET,GuaranteeController,resolveSingleInvoice,ECGF / Guarantee Documents,Retries a single pending invoice job for specific application. Same logic as batch but for one application.,Yes — AccessGuard,JWT + RBAC,High,Manual retry for a single failed invoice. Used when batch retry has exhausted attempts or for targeted resolution.,ecgf.invoice_single_resolved,No,Yes,"application_id, invoice_status, trace_id","Settlement account numbers, invoice amounts.",Yes,"ecgf_invoice_resolution_total{status=success|failure, scope=single}",Yes,"DB: Guarantee.LOGInvoiceJobStatus. HTTP: iBank APEX, Payment Service.",LoggerService via Kafka logging.info.,No individual invoice resolution metrics.,P1,Not Started,
api/guarantee/:applicationId/letter-of-guarantee,GET,GuaranteeController,viewLetterOfGuarantee,ECGF / Guarantee Documents,Returns most recent GuaranteeLetterDocument for given applicationId. Excludes renderedContent.,Yes — AccessGuard,JWT + RBAC,Medium,LoG document viewing. Read-only.,No — read-only,No,Yes,"application_id, log_document_id, trace_id",JWT token.,No,,Yes,DB: Guarantee.GuaranteeLetterDocuments. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee-loans/initiate,POST,GuaranteeLoansController,initiateApplication,ECGF / Guarantee Loans,"Creates/updates loan applications with product-specific field validation for 4 lending types: icpcLending, microLending, graduateAgribusinessLending, microbusinessCreditLine. Checks duplicate active applications. Creates Applicant if not exists. Creates LoanCollateral records. Uses ValidationPipe with groups=['initiate']. Status set to Draft.",Yes — AccessGuard (class-level),JWT + RBAC,Critical,"Entry point for guarantee-backed loan applications. Multiple lending type validations. Applicant identity creation. Financial data (loan amounts, interest rates) must be accurate. Duplicate detection prevents data corruption.",ecgf.guarantee_loan_initiated,Yes,Yes,"application_id, lending_type, loan_amount, product_id, applicant_id, is_update, trace_id","nationalId, tinNumber, customerPhoneNumber, customerEmail, loanAmount, interestRate",Yes,"ecgf_guarantee_loan_total{operation=initiate, lending_type}",Yes,"DB: Application.LoanApplications (create/update), Application.Applicants (findOrCreate), Application.LoanCollaterals (bulk create). HTTP: Profile Service, Product Service, Access Management Service.",LoggerService via Kafka logging.info.,No custom metrics. No lending type breakdown tracking.,P0,Not Started,Customer-facing: Yes (PFI users/borrowers). 4 distinct lending type validation paths.
api/guarantee-loans/:id/documents,POST,GuaranteeLoansController,addDocuments,ECGF / Guarantee Loans,Validates application ownership and status (Draft/IN_PROGRESS). Creates LoanApplicationDocument records from URL-based document metadata.,Yes — AccessGuard (class-level),JWT + RBAC,High,Document submission required before loan application can proceed.,No — document management,No,Yes,"application_id, document_count, trace_id",JWT token. Document URLs.,No,,Yes,DB: Application.LoanApplicationDocuments (create). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No document upload metrics.,P2,Not Started,Customer-facing: Yes.
api/guarantee-loans/:id/submit,POST,GuaranteeLoansController,submitApplication,ECGF / Guarantee Loans,Changes status from Draft to SUBMITTED. Validates ownership.,Yes — AccessGuard (class-level),JWT + RBAC,Critical,Loan submission is a key state transition. Failure prevents loan applications from entering the review pipeline.,ecgf.guarantee_loan_submitted,Yes,Yes,"application_id, submitted_by, trace_id",JWT token.,Yes,ecgf_guarantee_loan_submitted_total,Yes,DB: Application.LoanApplications (status update). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No submission metrics. No status transition tracking.,P0,Not Started,Customer-facing: Yes.
api/guarantee-loans/all,POST,GuaranteeLoansController,getLoanApplications,ECGF / Guarantee Loans,"Paginated list with extensive filters: status, search (applicant name/phone/email/NID, application fields), dates, productName, loanType, applicationType, businessSector, pfiName, pfiTinNumber, applicationIdentifier, tinNumber, bundleName, upi. Includes nested applicant and collateral associations.",Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin listing view. Read-only.,No — read-only listing,No,Yes,"page, limit, filters, result_count, trace_id","JWT token. Response contains applicant PII (name, NID, phone, email).",No,,Yes,"DB: Application.LoanApplications with Applicant, Collateral includes. HTTP: Access Management Service (guard).",LoggerService via Kafka logging.info.,No custom metrics.,P2,Not Started,
api/guarantee-loans/applicant/all,POST,GuaranteeLoansController,getApplicantLoanApplications,ECGF / Guarantee Loans,Same as /all but filtered by current user's applicantId from JWT.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Applicant self-service view.,No — read-only,No,Yes,"applicant_id, result_count, trace_id",JWT token.,No,,Yes,DB: Application.LoanApplications. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P3,Not Started,Customer-facing: Yes (borrowers).
api/guarantee-loans/pfi/all,POST,GuaranteeLoansController,getLoanApplicationsByPfi,ECGF / Guarantee Loans,Filters by PFI's registrationNumber obtained from Profile Service representative endpoint.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,PFI view of their loan applications.,No — read-only,No,Yes,"pfi_registration_number, result_count, trace_id",JWT token.,No,,Yes,"DB: Application.LoanApplications. HTTP: Profile Service (representative), Access Management Service (guard).",LoggerService via Kafka logging.info.,No custom metrics. Profile Service dependency invisible.,P2,Not Started,Customer-facing: Yes (PFI users).
api/guarantee-loans/stats,GET,GuaranteeLoansController,getLoanApplicationStats,ECGF / Guarantee Loans,Aggregates counts by status with GROUP BY. Supports fetchFor='all'|'onlyForApplicant'|'onlyForPfi'.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Dashboard statistics. Read-only aggregation.,No — read-only,No,Yes,"fetch_for, counts_by_status, trace_id",JWT token.,No,,No,DB: Application.LoanApplications (GROUP BY). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/guarantee-loans/:id,GET,GuaranteeLoansController,getLoanApplication,ECGF / Guarantee Loans,Returns single application with details. Uses SQL Server ROW_NUMBER() window function to get latest document per documentType.,Yes — AccessGuard (class-level),JWT + RBAC,High,Detail view for review. SQL Server-specific query pattern.,No — read-only,No,Yes,"application_id, trace_id",JWT token. Response contains applicant PII and financial data.,No,,Yes,DB: Application.LoanApplications with ROW_NUMBER() window function. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P2,Not Started,Uses SQL Server-specific ROW_NUMBER() — not portable to other DBs.
api/financial-institutions,POST,FinancialInstitutionsController,create,ECGF / PFI Onboarding,Onboards a PFI. Validates TIN via Profile Service. Validates products against bundle mapping from Product Service. Checks duplicate channel registration. Creates FinancialInstitution with applicationNumber (GOA0001 format). Creates product snapshot records. Supports INDIVIDUAL and HIBRID/PORTFOLIO channels with guaranteeLine for portfolio type.,Yes — AccessGuard (class-level),JWT + RBAC,Critical,"PFI onboarding is the entry point for new financial institutions into the ECGF platform. Without onboarding, PFIs cannot submit guarantee applications. TIN validation against Profile Service ensures identity. Product mapping ensures valid product offerings.",ecgf.pfi_onboarded,Yes,Yes,"institution_name, tin, cluster, channel, guarantee_line, product_count, created_by, trace_id, span_id","TIN (max 9 digits), phoneNumber, email, representativePhoneNumber, representativeEmail, capital, guaranteeLine, nplRatio, commissionFee",Yes,"ecgf_pfi_onboarding_total{cluster, channel}, ecgf_pfi_onboarding_duration_seconds",Yes,"DB: Application.FinancialInstitutionsApplications (create), Application.FinancialInstitutionProducts (bulk create). HTTP: Profile Service (TIN validation), Product Service (bundle/product mapping), Access Management Service (guard).","LoggerService via Kafka logging.info. @Trace(), @Span().",No custom metrics. No PFI onboarding tracking by cluster/channel.,P0,Not Started,"Customer-facing: Yes (PFI users). Cluster types: MFI, Commercial Bank, SACCO, COPEDU, Banking."
api/financial-institutions/:id/upload-files,PUT,FinancialInstitutionsController,uploadFinancialInstitutionFiles,ECGF / PFI Onboarding,Uploads onboarding documents for PFI application. Uses FileFieldsInterceptor with configured multer file fields.,Yes — AccessGuard (class-level),JWT + RBAC,High,Document upload required before PFI submission.,No — file upload,No,Yes,"institution_id, document_count, trace_id",JWT token. Document contents may contain sensitive PFI financial information.,Yes,ecgf_document_upload_duration_seconds{domain=pfi_onboarding},Yes,"DB: Application.FinancialInstitutionDocuments. HTTP: File Management Service, Access Management Service (guard).",LoggerService via Kafka logging.info.,No file upload metrics.,P1,Not Started,Customer-facing: Yes.
api/financial-institutions/submit,POST,FinancialInstitutionsController,submit,ECGF / PFI Onboarding,"Validates required documents (requiredFiles + loanPortifolio for portfolio channel). Starts PFI_ONBOARDING workflow (namespace=pfi_onboarding, entityType=PFI_ONBOARDING). Updates status to Submitted with taskId.",Yes — AccessGuard (class-level),JWT + RBAC,Critical,Submission triggers multi-step PFI approval workflow. Failure prevents PFI from entering review. Workflow start failure leaves application in limbo.,ecgf.pfi_application_submitted,Yes,Yes,"institution_id, institution_name, workflow_instance_id, trace_id",JWT token.,Yes,"ecgf_pfi_submission_total, ecgf_workflow_start_duration_seconds{namespace=pfi_onboarding}",Yes,DB: Application.FinancialInstitutionsApplications (status update). HTTP: Workflow Service (start instance). Outbox: ProcurementPlanItemSubmitted.,LoggerService via Kafka logging.info.,No submission metrics. No workflow start tracking.,P0,Not Started,"Customer-facing: Yes. Workflow namespace=pfi_onboarding, entityType=PFI_ONBOARDING."
api/financial-institutions/all,POST,FinancialInstitutionsController,getAll,ECGF / PFI Onboarding,Paginated list with filters. Includes products and documents.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,Admin listing. Read-only.,No — read-only listing,No,Yes,"page, limit, filters, result_count, trace_id",JWT token.,No,,Yes,DB: Application.FinancialInstitutionsApplications with includes. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P2,Not Started,
api/financial-institutions/dropdown,GET,FinancialInstitutionsController,getDropdownList,ECGF / PFI Onboarding,"Returns approved PFIs filtered by cluster type and search. Attributes: id, institutionName, cluster, TIN.",Yes — AccessGuard (class-level),JWT + RBAC,High,Used by guarantee application and loan application forms to select PFI. Failure blocks new application creation.,No — read-only,No,Yes,"cluster_filter, search, result_count, trace_id",JWT token.,No,,Yes,DB: Application.FinancialInstitutionsApplications (status=Approved). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P2,Not Started,Customer-facing: Yes (used in application forms).
api/financial-institutions/:id,GET,FinancialInstitutionsController,getDetails,ECGF / PFI Onboarding,Returns single PFI with products and documents.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,PFI detail view. Read-only.,No — read-only,No,Yes,"institution_id, trace_id",JWT token.,No,,Yes,DB: Application.FinancialInstitutionsApplications with includes. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No custom metrics.,P3,Not Started,
api/financial-institutions/our-applications,POST,FinancialInstitutionsController,getInstitutionOnboardingApplication,ECGF / PFI Onboarding,Returns PFI's own onboarding applications. Identifies PFI via Profile Service representative endpoint.,Yes — AccessGuard (class-level),JWT + RBAC,Medium,PFI self-service view.,No — read-only,No,Yes,"institution_name, result_count, trace_id",JWT token.,No,,Yes,"DB: Application.FinancialInstitutionsApplications. HTTP: Profile Service, Access Management Service (guard).",LoggerService via Kafka logging.info.,No custom metrics.,P3,Not Started,Customer-facing: Yes (PFI users).
api/financial-institutions/:id/products,GET,FinancialInstitutionsController,getOnboardingProducts,ECGF / PFI Onboarding,Returns products for specific onboarding application.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Product listing. Read-only auxiliary data.,No — read-only,No,Yes,"institution_id, trace_id",JWT token.,No,,No,DB: Application.FinancialInstitutionProducts. HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/financial-institutions/our-products,POST,FinancialInstitutionsController,getInstitutionOnboardingApplicationProducts,ECGF / PFI Onboarding,Returns unique products across all onboarding applications for current user's PFI.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Product aggregation. Read-only.,No — read-only,No,Yes,trace_id,JWT token.,No,,No,"DB: Application.FinancialInstitutionProducts. HTTP: Profile Service, Access Management Service (guard).",LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
api/financial-institutions/summary,POST,FinancialInstitutionsController,getInstitutionApplicationSummary,ECGF / PFI Onboarding,Aggregates application counts by status with optional PFI scope.,Yes — AccessGuard (class-level),JWT + RBAC,Low,Dashboard statistics.,No — read-only aggregation,No,Yes,"scope, counts_by_status, trace_id",JWT token.,No,,No,DB: Application.FinancialInstitutionsApplications (GROUP BY). HTTP: Access Management Service (guard).,LoggerService via Kafka logging.info.,No gaps for its purpose.,P3,Not Started,
